DB16_ID,AS_ID,DB16_NAME,AS_NAME,PREFIX,P_ID,P_NAME,NOTE
130337,6268,Thị trấn An Phú,An Phú,Thị trấn,388,An Phú,1
130340,6270,Xã Khánh An,Khánh An,Xã,388,An Phú,1
130341,6272,Thị Trấn Long Bình,Long Bình,Thị trấn,388,An Phú,1.0
130343,6271,Xã Khánh Bình,Khánh Bình,Xã,388,An Phú,1
130346,6277,Xã Quốc Thái,Quốc Thái,Xã,388,An Phú,1
130349,6273,Xã Nhơn Hội,Nhơn Hội,Xã,388,An Phú,1
130352,6275,Xã Phú Hữu,Phú Hữu,Xã,388,An Phú,1
130355,6274,Xã Phú Hội,Phú Hội,Xã,388,An Phú,1
130358,6276,Xã Phước Hưng,Phước Hưng,Xã,388,An Phú,1
130361,6280,Xã Vĩnh Lộc,Vĩnh Lộc,Xã,388,An Phú,1
130364,6278,Xã Vĩnh Hậu,Vĩnh Hậu,Xã,388,An Phú,1
130367,6281,Xã Vĩnh Trường,Vĩnh Trường,Xã,388,An Phú,1
130370,6279,Xã Vĩnh Hội Đông,Vĩnh Hội Đông,Xã,388,An Phú,1
130373,6269,Xã Đa Phước,Đa Phước,Xã,388,An Phú,1
130316,6283,Phường Châu Phú B,Châu Phú B,Phường,389,Châu Đốc,1
130319,6282,Phường Châu Phú A,Châu Phú A,Phường,389,Châu Đốc,1
130322,6286,Phường Vĩnh Mỹ,Vĩnh Mỹ,Phường,389,Châu Đốc,1
130325,6284,Phường Núi Sam,Núi Sam,Phường,389,Châu Đốc,1
130328,6287,Phường Vĩnh Ngươn,Vĩnh Ngươn,Xã,389,Châu Đốc,Sai prefix
130331,6288,Xã Vĩnh Tế,Vĩnh Tế,Xã,389,Châu Đốc,1
130334,6285,Xã Vĩnh Châu,Vĩnh Châu,Xã,389,Châu Đốc,1
130463,6294,Thị trấn Cái Dầu,Cái Dầu,Thị trấn,390,Châu Phú,1
130466,6296,Xã Khánh Hòa,Khánh Hòa,Xã,390,Châu Phú,1
130469,6297,Xã Mỹ Đức,Mỹ Đức,Xã,390,Châu Phú,1
130472,6298,Xã Mỹ Phú,Mỹ Phú,Xã,390,Châu Phú,1
130475,6299,Xã Ô Long Vỹ,Ô Long Vĩ,Xã,390,Châu Phú,0.917
